Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_01046-t43_1	254	270	314	607	756	513	24.74527226	27.52084577	37.73499196	34.47360117	49.392379	35.010383	2.27E-01	5.10E+00	5.45E-01	7.99E-01
transcript:CTRG_01047-t43_1	687	750	918	877	1542	880	66.92914191	76.4467938	110.3207727	49.80782245	100.744773	60.05679735	-2.68E-01	6.29E+00	7.39E-01	9.09E-01
transcript:CTRG_01048-t43_1	19	15	12	4	14	107	1.851024303	1.528935876	1.442101604	0.227173649	0.914673685	7.302360587	2.68E+00	1.36E+00	7.00E-03	1.16E-01
transcript:CTRG_01049-t43_1	21	5	13	16	42	32	2.045868967	0.509645292	1.562276737	0.908694594	2.744021056	2.18388354	7.05E-01	8.43E-01	3.71E-01	6.86E-01
transcript:CTRG_01050-t43_1	2165	2090	2225	6996	7301	3231	210.9193482	213.031732	267.3896723	397.3267114	477.0023269	220.5039912	-2.53E-01	8.15E+00	6.75E-01	8.71E-01
transcript:CTRG_01051-t43_1	118	113	168	213	311	76	11.49583515	11.5179836	20.18942245	12.09699679	20.31882258	5.186723408	-1.35E+00	3.74E+00	5.16E-02	3.01E-01
transcript:CTRG_01052-t43_1	179	194	148	609	587	286	17.43859738	19.77423733	17.78591978	34.587188	38.35096095	19.51845914	-1.41E-01	4.56E+00	8.31E-01	9.46E-01
transcript:CTRG_01053-t43_1	6	21	17	1	5	1	0.584533991	2.140510226	2.042977272	0.056793412	0.326669173	0.068246361	-3.73E+00	3.54E-02	3.27E-01	6.56E-01
transcript:CTRG_01054-t43_1	1365	1283	922	3565	2737	1976	132.9814828	130.7749819	110.8014732	202.4685143	178.8187055	134.8548086	3.82E-02	7.20E+00	8.78E-01	9.67E-01
transcript:CTRG_01055-t43_1	5923	5258	4194	10840	7561	5853	577.032471	535.942989	504.0145104	615.6405877	493.9891239	399.4459487	-3.03E-01	9.05E+00	7.09E-01	8.92E-01
transcript:CTRG_01056-t43_1	363	424	283	1670	1435	758	35.36430643	43.21792076	34.00956282	94.84499828	93.75405274	51.73074135	6.09E-02	5.80E+00	8.45E-01	9.53E-01
